Flavor,City,Quantity,DayOfWeek,Season,Degree,Humidity
Chocolate,London,3,Friday,Autumn,,
Vanila,Hogsmid,1,Friday,Autumn,,
Strawberry,Hogsmid,1,Friday,Autumn,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Hogsmid,,Monday,Winter,,
,Tel Aviv,,Monday,Winter,,
,Kiryat Ye'arim,,Monday,Winter,,
,Jerusalem,,Wednesday,Autumn,,
,Hogsmid,,Wednesday,Autumn,,
,Hogsmid,,Wednesday,Autumn,,
,Hogsmid,,Wednesday,Autumn,,
Strawberry,Hogsmid,,Wednesday,Autumn,,
gtg,Hogsmid,,Wednesday,Autumn,,
Vanilla,Hogsmid,,Wednesday,Autumn,,
Chocolate,Hogsmid,,Wednesday,Autumn,,
Pistachio,New York,,Wednesday,Autumn,,
Chocolate,Hogsmid,,Tuesday,Autumn,,
Moca,Hogsmid,,Sunday,Autumn,,
Moca,Tel Aviv,,Sunday,Autumn,,
Chocolate,Jerusalem,,Sunday,Autumn,,
Vanilla,Jerusalem,,Tuesday,Autumn,,
Strawberry,Jerusalem,,Tuesday,Autumn,,
